lemma1	lemma2	score
recessione	PIL	2.5
Cesare	Giulio Cesare	4
paziente	sessione	3.0
comportamentismo	terapia	2.9
imperatore	costituzione	2.6
matematico	spettacolo	0.0
entropia	informazione	3.7
acqua di rose	olio di rosa	3.6
agrume	pompelmo	3.5
Regina Vittoria	Inghilterra	2.5
Giochi Olimpici	spirito	0.2
vescovo	musulmano	2.0
uomo	sospetto	3.4
meteorite	Terra	2.8
simbolo	segno	3.7
antropologia	New York	0.1
tramonto	tavolo	0.0
cittadina	città	3.9
giacca	acqua minerale	0.0
natura	flora	3.2
subroutine	compilatore	1.6
Hamadan	Roma	2.0
ombrello	stufa	0.2
onore	stima	3.5
insegna	dignità	0.0
KFC	McDonald's	3.0
joystick	radar	1.0
basmati	riso jasmine	3.8
medaglia	scarpe da ginnastica	1.3
legge	piscina	0
sorgente	scatola	0.1
teatro	batteria	0.3
flora	web browser	0.0
camicia	cardigan	3.4
poema	ritmo	1.0
profeta	prete	1.0
Oscar	stadio	0.0
backgammon	Go	3.0
farfalla	rosa	0.0
recinto	salto	1.8
nichilismo	film	1.0
asteroide	stella	2.5
sommossa	disegno	0.0
intimo	corpo	2.4
Boeing	aereo	3.6
cameo	interpretazione	3.0
semestre	quadrimestre	3.8
arancia	agrume	3.5
ghiacciaio	riscaldamento globale	2.0
galleria	percorso	3.1
